,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,rikitea,22.0,PF,1620878670.0,78.0,-23.1203,-134.9692,77.4,17.67
1,kochi,100.0,IN,1620878672.0,76.0,9.9399,76.2602,82.31,3.71
2,codrington,100.0,AU,1620878673.0,71.0,-38.2667,141.9667,52.68,18.19
3,dwarka,17.0,IN,1620878076.0,70.0,22.2394,68.9678,85.3,18.37
4,port moresby,100.0,PG,1620878674.0,74.0,-9.4431,147.1797,82.98,4.83
5,hannan,75.0,JP,1620878674.0,85.0,34.3217,135.2325,74.25,4.85
6,yulara,0.0,AU,1620878674.0,21.0,-25.2406,130.9889,74.88,10.45
7,port alfred,0.0,ZA,1620878675.0,75.0,-33.5906,26.891,59.18,7.38
8,richards bay,64.0,ZA,1620878675.0,81.0,-28.783,32.0377,67.1,1.79
9,longyearbyen,0.0,SJ,1620878675.0,73.0,78.2186,15.6401,17.11,0.0
10,sur,29.0,OM,1620878676.0,39.0,22.5667,59.5289,92.19,4.14
11,walvis bay,0.0,NA,1620878676.0,32.0,-22.9575,14.5053,73.98,6.44
12,shu,3.0,KZ,1620878676.0,28.0,43.5983,73.7614,66.96,11.16
13,hobart,75.0,AU,1620878429.0,83.0,-42.8794,147.3294,60.58,1.01
14,daryapur,27.0,IN,1620878677.0,26.0,20.9333,77.3333,94.64,13.13
15,kruisfontein,4.0,ZA,1620878677.0,81.0,-34.0033,24.7314,51.78,3.56
16,hermanus,4.0,ZA,1620878636.0,87.0,-34.4187,19.2345,54.66,5.41
17,petropavlovsk-kamchatskiy,31.0,RU,1620878423.0,59.0,53.0452,158.6483,51.94,5.01
18,labuhan,98.0,ID,1620878677.0,63.0,-6.8844,112.2051,86.86,5.21
19,buraydah,11.0,SA,1620878678.0,15.0,26.326,43.975,85.24,3.76
20,qaanaaq,100.0,GL,1620878678.0,82.0,77.484,-69.3632,23.34,10.45
21,hilo,75.0,US,1620878678.0,73.0,19.7297,-155.09,80.22,4.61
22,grand gaube,3.0,MU,1620878678.0,72.0,-20.0064,57.6608,77.86,7.0
23,fort-shevchenko,3.0,KZ,1620878679.0,56.0,44.5086,50.263,64.78,8.08
24,atambua,28.0,ID,1620878679.0,56.0,-9.1061,124.8925,84.02,3.8
27,faanui,100.0,PF,1620878679.0,80.0,-16.4833,-151.75,82.26,19.55
28,bluff,1.0,NZ,1620878680.0,57.0,-46.6,168.3333,51.71,3.11
29,banjar,73.0,ID,1620878680.0,59.0,-8.19,114.9675,85.82,3.62
32,mataura,3.0,NZ,1620878680.0,65.0,-46.1927,168.8643,51.39,0.98
33,tuktoyaktuk,8.0,CA,1620878681.0,91.0,69.4541,-133.0374,13.71,9.22
34,komsomolskiy,11.0,UZ,1620878681.0,46.0,40.4272,71.7189,67.17,4.61
35,atuona,19.0,PF,1620878681.0,80.0,-9.8,-139.0333,80.4,20.83
36,vaini,40.0,TO,1620878681.0,78.0,-21.2,-175.2,76.77,10.36
37,antofagasta,91.0,CL,1620878681.0,74.0,-23.65,-70.4,62.31,4.52
39,butaritari,21.0,KI,1620878682.0,77.0,3.0707,172.7902,82.78,14.79
40,yushu,0.0,CN,1620878682.0,17.0,44.8,126.5333,72.19,14.41
41,mar del plata,0.0,AR,1620878400.0,82.0,-38.0023,-57.5575,56.84,1.99
42,lebu,100.0,CL,1620878682.0,85.0,-37.6167,-73.65,53.82,10.31
43,baie-comeau,1.0,CA,1620878683.0,78.0,49.2168,-68.1489,33.28,5.61
44,chambas,71.0,CU,1620878683.0,87.0,22.1928,-78.9136,80.13,5.06
45,saint-pierre,0.0,RE,1620878683.0,69.0,-21.3393,55.4781,74.64,3.44
46,ushuaia,0.0,AR,1620878390.0,57.0,-54.8,-68.3,45.82,13.8
47,albany,53.0,US,1620878469.0,83.0,42.6001,-73.9662,46.62,4.63
49,baiao,87.0,BR,1620878684.0,99.0,-2.7906,-49.6717,72.25,1.34
50,ascension,90.0,US,1620878684.0,90.0,30.2169,-90.9001,70.99,4.61
52,egvekinot,100.0,RU,1620878684.0,100.0,66.3167,-179.1667,30.22,3.29
53,victoria,31.0,HK,1620878557.0,79.0,22.2855,114.1577,89.96,1.01
54,brindisi,15.0,IT,1620878685.0,60.0,40.5833,17.6667,60.49,7.85
55,mahebourg,23.0,MU,1620878685.0,74.0,-20.4081,57.7,77.74,17.45
56,severo-kurilsk,23.0,RU,1620878685.0,73.0,50.6789,156.125,38.1,15.57
57,hambantota,90.0,LK,1620878746.0,73.0,6.1241,81.1185,82.27,11.14
58,oranjemund,0.0,NA,1620878746.0,72.0,-28.55,16.4333,57.85,5.03
59,mayo,1.0,US,1620878746.0,82.0,38.8876,-76.5119,53.94,1.01
60,esperance,100.0,AU,1620878747.0,65.0,-33.8667,121.9,59.85,9.1
61,kavieng,9.0,PG,1620878747.0,70.0,-2.5744,150.7967,84.63,7.81
62,salinopolis,100.0,BR,1620878747.0,88.0,-0.6136,-47.3561,77.11,3.74
63,taltal,100.0,CL,1620878747.0,35.0,-25.4,-70.4833,76.33,11.03
65,husavik,91.0,IS,1620878748.0,68.0,66.0449,-17.3389,36.09,8.86
66,khash,11.0,IR,1620878748.0,15.0,28.2211,61.2158,76.01,6.46
67,ola,49.0,RU,1620878748.0,68.0,59.5833,151.2833,36.54,7.31
69,minab,4.0,IR,1620878749.0,27.0,27.1467,57.0801,87.22,1.28
70,busselton,99.0,AU,1620878595.0,51.0,-33.65,115.3333,59.95,16.08
71,bethel,1.0,US,1620878749.0,73.0,41.3712,-73.414,54.48,4.61
72,makat,81.0,KZ,1620878749.0,21.0,47.6469,53.3463,74.23,20.67
73,san patricio,72.0,US,1620878749.0,80.0,28.017,-97.5169,75.02,11.7
75,puerto ayora,13.0,EC,1620878750.0,93.0,-0.7393,-90.3518,75.34,3.0
76,torbay,90.0,CA,1620878599.0,87.0,47.6666,-52.7314,40.15,14.97
77,avarua,90.0,CK,1620878750.0,78.0,-21.2078,-159.775,78.69,10.36
78,cape town,75.0,ZA,1620878580.0,84.0,-33.9258,18.4232,54.86,3.29
79,lahaina,31.0,US,1620878213.0,69.0,20.8783,-156.6825,70.99,12.91
80,lavrentiya,100.0,RU,1620878750.0,97.0,65.5833,-171.0,33.58,1.79
81,hasaki,100.0,JP,1620878751.0,89.0,35.7333,140.8333,66.15,15.28
82,amahai,40.0,ID,1620878751.0,75.0,-3.3333,128.9167,84.47,7.16
83,bengkulu,55.0,ID,1620878751.0,69.0,-3.8004,102.2655,84.99,5.26
84,novoagansk,99.0,RU,1620878752.0,64.0,61.9449,76.6625,45.66,10.07
85,chuy,0.0,UY,1620878752.0,80.0,-33.6971,-53.4616,47.17,7.16
86,rio gallegos,43.0,AR,1620878662.0,66.0,-51.6226,-69.2181,45.55,13.49
